"path","top_category","extension","size_bytes","git_lfs","last_write_time"
"4 - Instrumentation/Pic/As-built/Global disp (3).JPG","4 - Instrumentation",".JPG","8067359","False","2025-01-03T12:40:14"
"4 - Instrumentation/Pic/As-built/Global disp (4).JPG","4 - Instrumentation",".JPG","11941985","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/Global disp (5).JPG","4 - Instrumentation",".JPG","11000896","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/L1_NE (1).JPG","4 - Instrumentation",".JPG","10065015","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/L1_NE (2).JPG","4 - Instrumentation",".JPG","9149654","False","2025-01-07T13:18:52"
"4 - Instrumentation/Pic/As-built/L1_SW.JPG","4 - Instrumentation",".JPG","9469800","False","2025-01-07T13:19:30"
"4 - Instrumentation/Pic/As-built/L6_SW.JPG","4 - Instrumentation",".JPG","12689636","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR beam (1).JPG","4 - Instrumentation",".JPG","11064214","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR beam (2).JPG","4 - Instrumentation",".JPG","9223251","False","2025-01-07T11:37:06"
"4 - Instrumentation/Pic/As-built/OR beam (3).JPG","4 - Instrumentation",".JPG","9914344","False","2025-01-07T11:37:26"
"4 - Instrumentation/Pic/As-built/OR beam (4).JPG","4 - Instrumentation",".JPG","9909024","False","2025-01-07T11:38:04"
"4 - Instrumentation/Pic/As-built/OR damper (1).JPG","4 - Instrumentation",".JPG","11800811","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (10).JPG","4 - Instrumentation",".JPG","10009147","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (11).JPG","4 - Instrumentation",".JPG","10149968","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (12).JPG","4 - Instrumentation",".JPG","8976422","False","2025-01-10T21:32:50"
"4 - Instrumentation/Pic/As-built/OR damper (13).JPG","4 - Instrumentation",".JPG","9277564","False","2025-01-10T21:32:50"
"4 - Instrumentation/Pic/As-built/OR damper (14).JPG","4 - Instrumentation",".JPG","9279531","False","2025-01-10T21:32:50"
"4 - Instrumentation/Pic/As-built/OR damper (15).JPG","4 - Instrumentation",".JPG","8829902","False","2025-01-10T21:32:50"
"4 - Instrumentation/Pic/As-built/OR damper (2).JPG","4 - Instrumentation",".JPG","12381221","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (3).JPG","4 - Instrumentation",".JPG","11435620","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (4).JPG","4 - Instrumentation",".JPG","12389084","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (5).JPG","4 - Instrumentation",".JPG","12517163","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (6).JPG","4 - Instrumentation",".JPG","12820310","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/OR damper (7).JPG","4 - Instrumentation",".JPG","9319290","False","2025-01-07T11:55:22"
"4 - Instrumentation/Pic/As-built/OR damper (8).JPG","4 - Instrumentation",".JPG","9519000","False","2025-01-07T11:55:32"
"4 - Instrumentation/Pic/As-built/OR damper (9).JPG","4 - Instrumentation",".JPG","11879970","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/W2W (1).JPG","4 - Instrumentation",".JPG","9336536","False","2025-01-07T11:18:54"
"4 - Instrumentation/Pic/As-built/W2W (2).JPG","4 - Instrumentation",".JPG","11274182","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/W2W (3).JPG","4 - Instrumentation",".JPG","9564754","False","2025-01-07T11:58:40"
"4 - Instrumentation/Pic/As-built/W2W (4).JPG","4 - Instrumentation",".JPG","11824891","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/W2W (5).JPG","4 - Instrumentation",".JPG","12861979","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB (1).JPG","4 - Instrumentation",".JPG","10564733","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB (2).JPG","4 - Instrumentation",".JPG","11220673","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB (3).JPG","4 - Instrumentation",".JPG","10072777","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB (4).JPG","4 - Instrumentation",".JPG","10263108","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB (5).JPG","4 - Instrumentation",".JPG","9121882","False","2025-01-07T10:10:06"
"4 - Instrumentation/Pic/As-built/WB (6).JPG","4 - Instrumentation",".JPG","9007172","False","2025-01-07T10:21:40"
"4 - Instrumentation/Pic/As-built/WB (7).JPG","4 - Instrumentation",".JPG","12070504","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB damper (1).JPG","4 - Instrumentation",".JPG","10288693","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB damper (2).JPG","4 - Instrumentation",".JPG","11954744","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB damper (3).JPG","4 - Instrumentation",".JPG","10973682","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/As-built/WB damper (4).JPG","4 - Instrumentation",".JPG","12036021","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LC.JPG","4 - Instrumentation",".JPG","9769779","False","2024-12-27T14:16:10"
"4 - Instrumentation/Pic/Sensor/LP (1).JPG","4 - Instrumentation",".JPG","10072968","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LP (2).JPG","4 - Instrumentation",".JPG","6538784","False","2025-02-19T10:53:30"
"4 - Instrumentation/Pic/Sensor/LP (3).JPG","4 - Instrumentation",".JPG","11134198","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LP (4).JPG","4 - Instrumentation",".JPG","10281735","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LP (5).JPG","4 - Instrumentation",".JPG","10641337","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LP (6).JPG","4 - Instrumentation",".JPG","10871872","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LP (7).JPG","4 - Instrumentation",".JPG","10061648","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/LP (8).JPG","4 - Instrumentation",".JPG","9522313","False","2025-01-12T20:44:12"
"4 - Instrumentation/Pic/Sensor/LP (9).JPG","4 - Instrumentation",".JPG","11048474","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/SP (1).JPG","4 - Instrumentation",".JPG","10119921","True","2026-06-01T01:29:27"
"4 - Instrumentation/Pic/Sensor/SP (2).JPG","4 - Instrumentation",".JPG","9847122","False","2024-12-27T14:15:43"
"5 - Test/Media/Pic/D1/DSC_0058.JPG","5 - Test",".JPG","9962672","False","2025-01-11T13:25:52"
"5 - Test/Media/Pic/D1/DSC_0059.JPG","5 - Test",".JPG","9458468","False","2025-01-11T13:26:04"
"5 - Test/Media/Pic/D1/DSC_0060.JPG","5 - Test",".JPG","10137583","True","2026-06-01T01:29:27"
"5 - Test/Media/Pic/D1/DSC_0061.JPG","5 - Test",".JPG","9344963","False","2025-01-11T13:26:58"
"5 - Test/Media/Pic/D1/DSC_0062.JPG","5 - Test",".JPG","10108791","True","2026-06-01T01:29:27"
"5 - Test/Media/Pic/D1/DSC_0063.JPG","5 - Test",".JPG","9173135","False","2025-01-11T13:27:40"
"5 - Test/Media/Pic/D1/DSC_0064.JPG","5 - Test",".JPG","9778633","False","2025-01-11T13:27:50"
"5 - Test/Media/Pic/D1/DSC_0065.JPG","5 - Test",".JPG","9832040","False","2025-01-11T13:27:56"
"5 - Test/Media/Pic/D1/DSC_0066.JPG","5 - Test",".JPG","9437746","False","2025-01-11T13:28:04"
"5 - Test/Media/Pic/D1/DSC_0067.JPG","5 - Test",".JPG","9668484","False","2025-01-11T13:28:10"
"5 - Test/Media/Pic/D1/DSC_0068.JPG","5 - Test",".JPG","9611215","False","2025-01-11T13:28:22"
"5 - Test/Media/Pic/D1/DSC_0069.JPG","5 - Test",".JPG","10174389","True","2026-06-01T01:29:27"
"5 - Test/Media/Pic/D1/DSC_0070.JPG","5 - Test",".JPG","9171856","False","2025-01-11T13:29:40"
"5 - Test/Media/Pic/D1/DSC_0071.JPG","5 - Test",".JPG","9982207","False","2025-01-11T13:30:10"
"5 - Test/Media/Pic/D1/DSC_0072.JPG","5 - Test",".JPG","8809575","False","2025-01-11T13:30:34"
"5 - Test/Media/Pic/D1/DSC_0073.JPG","5 - Test",".JPG","8899464","False","2025-01-11T13:30:44"
"5 - Test/Media/Pic/D1/DSC_0074.JPG","5 - Test",".JPG","9153736","False","2025-01-11T13:30:52"
"5 - Test/Media/Pic/D1/DSC_0075.JPG","5 - Test",".JPG","8819522","False","2025-01-11T13:31:16"
"5 - Test/Media/Pic/D1/DSC_0076.JPG","5 - Test",".JPG","9843666","False","2025-01-11T13:31:32"
"5 - Test/Media/Pic/D1/DSC_0189.JPG","5 - Test",".JPG","10232197","True","2026-06-01T01:29:27"
"5 - Test/Media/Pic/D1/DSC_0190.JPG","5 - Test",".JPG","9947991","False","2025-01-10T16:16:22"
"5 - Test/Media/Pic/D1/DSC_0191.JPG","5 - Test",".JPG","10319417","True","2026-06-01T01:29:27"
"5 - Test/Media/Pic/D1/DSC_0192.JPG","5 - Test",".JPG","9364136","False","2025-01-10T16:16:50"
